Name,Author,Created,Date,Tags
2005 - Internet Services - Galileo University,,"July 15, 2022 5:53 PM",,"Javascript, html"
"2012 - Startup Weekend ",,"July 15, 2022 6:05 PM",,"Arduino, Javascript"
2013 - M&C - Best Backend Hire,,"July 15, 2022 6:46 PM",,"Nodejs, PHP"
2013 - Nasa Hackaton,,"July 15, 2022 6:50 PM",,"Javascript, PHP"
2014 - Startup Weekend - UFM,,"July 15, 2022 7:03 PM",,"Javascript, mobile"
2015 - Startup Weekend - Landivar,,"July 15, 2022 7:06 PM",,"Javascript, Nodejs, mongodb"
2019 - Blockchain Week // Blockchain Hackaton,,"July 15, 2022 11:28 PM",,"Nodejs, React, infura, solidity"
2020 - Meet Vitalik at Stanford Blockchain Conference,,"July 15, 2022 11:42 PM",,solidity
2022 - Bounty Winner at Mobile Hackaton Celo Barcelona,,"July 15, 2022 11:47 PM",,"React, solidity"
2020 - Global GameJam,,"July 16, 2022 6:21 PM",,"C#, Unity"
2020 DeveloperWeek Hackathon - San Francisco,,"July 22, 2022 3:37 AM",,"Javascript, Nodejs, Travel, html, mobile"
"2020 - World Blockchain Hackaton, San Francisco ",,"April 17, 2023 1:17 AM",,
2018 - Startup Weekend Blockchain Edition - New York,,"May 3, 2023 12:54 AM",,